metric,value
documents_total,70
documents_active,69
documents_with_text,52
distinct_documents,30
distinct_inspection_reports,24
documents_lost_outright,2
documents_attempted,32
content_hash_null_active,29
content_hash_null_pct,42.0
failed_records,6
failed_records_single_route,6
terminal_records,57
completed_records,51
completed_without_text,1
non_completed_with_text,2
with_text_bulk_route,18
with_text_single_route,34
document_sections_rows,9282
document_sections_distinct,4299
issues_active,2675
equipment_active,1012
components_active,539
issues_deduplicated,2287
equipment_deduplicated,808
homes_total,40
homes_active,39
homes_created_august_2026,21
records_created_6_8_9_august,30
split_detection_runs,41
