metric,value
events,612
documents,26
total_usd,11.6555
mean_per_document_usd,0.4483
median_per_document_usd,0.2216
anchor_day_2026_08_09_events,437
anchor_day_2026_08_09_usd,10.1476
anchor_day_invoice_eur,63.97
operation_types_recorded,3
thinking_corrected_total_usd,15.38
thinking_corrected_mean_per_document_usd,0.59
optype_image_labeling_events,477
optype_document_extraction_events,131
optype_photo_linking_llm_events,4
optype_image_labeling_usd,0.1484
optype_document_extraction_usd,11.4805
optype_photo_linking_llm_usd,0.0267
documents_of_type_inspection_report,26
tokens_gemini-2.5-pro_input,4688322
tokens_gemini-2.5-flash_input,2724488
tokens_gemini-2.5-pro_output,266353
tokens_gemini-2.5-flash_output,950667
